@ID,ACCOUNT.NUMBER,BOOKING.DATE,VALUE.DATE,AMOUNT,TRANSACTION.CODE,TRANS.REFERENCE
SFT010000001,2002220,20260322,20260322,-311653,2,FT0100000
SFT010000002,2001445,20260322,20260322,311653,1,FT0100000
SFT010000101,2002062,20260322,20260322,-3251650,2,FT0100001
SFT010000102,2001333,20260322,20260322,3251650,1,FT0100001
SFT010000201,2002271,20260322,20260322,-3764517,2,FT0100002
SFT010000202,2002380,20260322,20260322,3764517,1,FT0100002
SFT010000301,2002366,20260322,20260322,-1511881,2,FT0100003
SFT010000302,2001723,20260322,20260322,1511881,1,FT0100003
SFT010000401,2002488,20260322,20260322,-76753,2,FT0100004
SFT010000402,2002759,20260322,20260322,76753,1,FT0100004
SFT010000501,2000828,20260322,20260322,-1774800,2,FT0100005
SFT010000502,2000638,20260322,20260322,1774800,1,FT0100005
SFT010000601,2001917,20260322,20260322,-2834481,2,FT0100006
SFT010000602,2002825,20260322,20260322,2834481,1,FT0100006
SFT010000701,2001700,20260322,20260322,-230021,2,FT0100007
SFT010000702,2002068,20260322,20260322,230021,1,FT0100007
SFT010000801,2001785,20260322,20260322,-541869,2,FT0100008
SFT010000802,2000968,20260322,20260322,541869,1,FT0100008
SFT010000901,2002064,20260322,20260322,-3253553,2,FT0100009
SFT010000902,2001901,20260322,20260322,3253553,1,FT0100009
SFT010001001,2000102,20260322,20260322,-2478696,2,FT0100010
SFT010001002,2000560,20260322,20260322,2478696,1,FT0100010
SFT010001101,2002107,20260322,20260322,-3853767,2,FT0100011
SFT010001102,2000516,20260322,20260322,3853767,1,FT0100011
SFT010001201,2000099,20260322,20260322,-2512875,2,FT0100012
SFT010001202,2001331,20260322,20260322,2512875,1,FT0100012
SFT010001301,2002428,20260322,20260322,-667803,2,FT0100013
SFT010001302,2002969,20260322,20260322,667803,1,FT0100013
SFT010001401,2002640,20260322,20260322,-4188095,2,FT0100014
SFT010001402,2000245,20260322,20260322,4188095,1,FT0100014
SFT010001501,2000141,20260322,20260322,-665476,2,FT0100015
SFT010001502,2002905,20260322,20260322,665476,1,FT0100015
SFT010001601,2002609,20260322,20260322,-4700902,2,FT0100016
SFT010001602,2002342,20260322,20260322,4700902,1,FT0100016
SFT010001701,2001855,20260322,20260322,-639312,2,FT0100017
SFT010001702,2000979,20260322,20260322,639312,1,FT0100017
SFT010001801,2000172,20260322,20260322,-1466690,2,FT0100018
SFT010001802,2001723,20260322,20260322,1466690,1,FT0100018
SFT010001901,2002239,20260322,20260322,-4401840,2,FT0100019
SFT010001902,2000270,20260322,20260322,4401840,1,FT0100019
SFT010002001,2000192,20260322,20260322,-2809992,2,FT0100020
SFT010002002,2001794,20260322,20260322,2809992,1,FT0100020
SFT010002101,2000638,20260322,20260322,-3738174,2,FT0100021
SFT010002102,2001187,20260322,20260322,3738174,1,FT0100021
SFT010002201,2000842,20260322,20260322,-2279800,2,FT0100022
SFT010002202,2001132,20260322,20260322,2279800,1,FT0100022
SFT010002301,2000642,20260322,20260322,-1351511,2,FT0100023
SFT010002302,2000393,20260322,20260322,1351511,1,FT0100023
