@ID,TRANSACTION.TYPE,DEBIT.ACCT.NO,DEBIT.CURRENCY,DEBIT.AMOUNT,CREDIT.ACCT.NO,CREDIT.VALUE.DATE,ORDERING.CUST
FT0600000,AC,2000903,EUR,3469480,2003197,20260426,ADÉLAÏDE DUPUIS-DURAND
FT0600001,AC,2001091,EUR,2802605,2001659,20260426,MADELEINE DE ROSSI
FT0600002,AC,2002604,USD,4892202,2002954,20260426,SOPHIE GONCALVES-DIALLO
FT0600003,AC,2001116,EUR,3296971,2000179,20260426,BRIGITTE MARIE DE LA PARIS
FT0600004,AC,2002556,USD,3340467,2001237,20260426,RÉMY LE MASSON
FT0600005,AC,2002591,USD,1082383,2000738,20260426,JACQUELINE HUMBERT
FT0600006,AC,2002621,XAF,3067085,2001598,20260426,ANTOINE GRONDIN DU DUMONT
FT0600007,AC,2002050,XAF,3155056,2001906,20260426,AMÉLIE MACE
FT0600008,AC,2002099,EUR,3788470,2001709,20260426,SABINE DE SOUSA
FT0600009,AC,2002640,USD,1892146,2000132,20260426,GUILLAUME RICHARD
FT0600010,AC,2002062,USD,1500034,2003146,20260426,LOUISE GERMAIN
FT0600011,AC,2002366,EUR,2569607,2002895,20260426,PATRICK ROBIN
FT0600012,AC,2000561,USD,2965926,2002931,20260426,GILLES LELEU
FT0600013,AC,2001215,XAF,1485505,2001964,20260426,PHILIPPINE-GENEVIÈVE BERTIN
FT0600014,AC,2002757,EUR,2465830,2002644,20260426,BENOÎT GONCALVES
FT0600015,AC,2001292,XAF,1909726,2002028,20260426,ARTHUR JACOB
FT0600016,AC,2002201,XAF,1495054,2000253,20260426,DAVID MUNOZ DE ANDRE
FT0600017,AC,2002580,USD,2766737,2002604,20260426,BENJAMIN TECHER-FOURNIER
FT0600018,AC,2002850,EUR,2937331,2002106,20260426,AMÉLIE LABBÉ
FT0600019,AC,2000211,USD,1517298,2002387,20260426,ISAAC LECLERC
FT0600020,AC,2000414,EUR,4938950,2000560,20260426,LUC-MARC CHAUVET
FT0600021,AC,2000889,XAF,4829278,2001593,20260426,AGATHE-ADRIENNE BLANCHARD
FT0600022,AC,2000353,EUR,730451,2000629,20260426,CHRISTINE LAROCHE
FT0600023,AC,2000290,USD,4273616,2000240,20260426,ADRIEN-XAVIER BERNARD
FT0600024,AC,2001694,EUR,2283326,2003231,20260426,GRÉGOIRE GERMAIN
FT0600025,AC,2002581,EUR,4880463,2002155,20260426,THIERRY-ÉTIENNE BENARD
FT0600026,AC,2002534,EUR,3197367,2002526,20260426,BRIGITTE DE LA COLLET
FT0600027,AC,2002472,USD,1014975,2002603,20260426,VALENTINE ALLAIN
FT0600028,AC,2002148,USD,269425,2002905,20260426,PHILIPPINE BOUTIN
FT0600029,AC,2002769,XAF,3856418,2002262,20260426,NATH LE MERCIER
FT0600030,AC,2000739,XAF,4576509,2002944,20260426,JOSEPH GALLET
FT0600031,AC,2000645,XAF,2540324,2001722,20260426,VALENTINE ALLAIN
FT0600032,AC,2002312,USD,819796,2001257,20260426,GILLES MARTY
FT0600033,AC,2001236,EUR,4408250,2001057,20260426,ANTOINE BLONDEL
FT0600034,AC,2000037,XAF,2319585,2000465,20260426,THIERRY BOULAY DE LE ROUX
FT0600035,AC,2001917,EUR,4825732,2000074,20260426,ADRIEN DOS SANTOS
FT0600036,AC,2001460,USD,336959,2002430,20260426,BERNADETTE VERDIER
FT0600037,AC,2003095,USD,1764170,2002537,20260426,STÉPHANIE-CLAUDE COULON
FT0600038,AC,2000068,USD,4955982,2000968,20260426,THIBAUT-MARCEL MAHE
FT0600039,AC,2001895,XAF,3845907,2001634,20260426,DIANE LE ROUX-SALMON
FT0600040,AC,2000350,EUR,691991,2001487,20260426,ZACHARIE MARTINS-CLERC
FT0600041,AC,2002919,USD,1428306,2002759,20260426,PAUL MOREAU LE PIRES
FT0600042,AC,2003130,EUR,4421881,2001623,20260426,LAETITIA GRÉGOIRE
FT0600043,AC,2000638,USD,4642436,2000737,20260426,LUC TOUSSAINT
FT0600044,AC,2001277,XAF,4366802,2000206,20260426,ÉMILIE DE LA FERNANDES
FT0600045,AC,2002206,XAF,2558687,2002088,20260426,FRÉDÉRIQUE ARNAUD
FT0600046,AC,2001683,USD,2371544,2002604,20260426,ISAAC LEGROS
FT0600047,AC,2000317,XAF,113031,2002422,20260426,ÉDOUARD PIERRE-HAMEL
FT0600048,AC,2002879,XAF,4470210,2000079,20260426,ÉLÉONORE-SABINE DANIEL
FT0600049,AC,2001734,XAF,4195546,2001355,20260426,ÉLODIE HAMON
FT0600050,AC,2001796,EUR,4559078,2002085,20260426,MARGARET KLEIN-MERLE
FT0600051,AC,2000769,EUR,4706739,2001623,20260426,ANOUK MAHE
FT0600052,AC,2001698,USD,2690166,2000239,20260426,LUC DE LA GRENIER
FT0600053,AC,2003139,XAF,4331863,2001870,20260426,CÉCILE CARRE DE BOULAY
FT0600054,AC,2002954,USD,3018574,2000260,20260426,AURÉLIE-MARGOT BOUCHER
FT0600055,AC,2002317,XAF,4480593,2001922,20260426,JEAN NEVEU-LEGRAND
FT0600056,AC,2001682,XAF,4426621,2002792,20260426,CLAUDE GAUTIER
FT0600057,AC,2001563,XAF,2981173,2002449,20260426,MARTHE GAUDIN
FT0600058,AC,2000246,XAF,3348909,2002921,20260426,ROGER BARRE
FT0600059,AC,2001852,USD,462602,2002068,20260426,THÉODORE CHARRIER-FAURE
FT0600060,AC,2000110,EUR,1535959,2002276,20260426,MARGARET LEMOINE DE LA GUILLAUME
FT0600061,AC,2000373,XAF,3908124,2002074,20260426,TIMOTHÉE-THIBAULT BOUCHER
FT0600062,AC,2002235,USD,1363154,2002107,20260426,CAMILLE BRIAND
FT0600063,AC,2002427,EUR,1125038,2001763,20260426,NATHALIE DU LEMONNIER
FT0600064,AC,2002949,EUR,2088385,2000904,20260426,JEANNINE LAMBERT LE RENARD
FT0600065,AC,2001237,USD,3651874,2002419,20260426,MICHEL DU ARNAUD
FT0600066,AC,2002308,USD,4456572,2000690,20260426,SUSAN DEVAUX
FT0600067,AC,2002989,EUR,377546,2002900,20260426,LOUISE LEBON
FT0600068,AC,2002064,USD,2653141,2002603,20260426,MADELEINE DE ROSSI
FT0600069,AC,2002160,XAF,4736833,2000150,20260426,RÉMY LEDUC
FT0600070,AC,2003030,XAF,2175863,2002098,20260426,THOMAS BESNARD
FT0600071,AC,2002447,USD,1975588,2000703,20260426,VINCENT PASCAL
FT0600072,AC,2002263,USD,1691276,2000816,20260426,LUCAS NGUYEN
FT0600073,AC,2002759,USD,2546455,2000866,20260426,ADÉLAÏDE LEMONNIER-TOUSSAINT
